time	V(n002)	V(n005)
3.563647499604466e-04	-3.588251e-01	-2.692067e-02
3.623217812104465e-04	-4.343629e-01	-3.377899e-02
3.682788124604462e-04	-5.080324e-01	-4.047953e-02
3.742358437104461e-04	-5.798335e-01	-4.702232e-02
3.801928749604459e-04	-6.497664e-01	-5.340733e-02
3.861499062104457e-04	-7.178310e-01	-5.963458e-02
3.921069374604456e-04	-7.840273e-01	-6.570407e-02
3.980639687104453e-04	-8.483553e-01	-7.161579e-02
4.004077187104452e-04	-8.727767e-01	-7.386383e-02
4.027514687104452e-04	-8.967553e-01	-7.607319e-02
4.050952187104451e-04	-9.202910e-01	-7.824387e-02
4.074389687104451e-04	-9.433839e-01	-8.037588e-02
4.097827187104450e-04	-9.660340e-01	-8.246920e-02
4.121264687104449e-04	-9.882413e-01	-8.452385e-02
4.144702187104448e-04	-1.010006e+00	-8.653981e-02
4.158374062104448e-04	-1.022464e+00	-8.769485e-02
4.178881874604447e-04	-1.040841e+00	-8.940005e-02
4.226733437104446e-04	-1.082412e+00	-9.326489e-02
4.274584999604444e-04	-1.121655e+00	-9.692272e-02
4.322436562104443e-04	-1.158570e+00	-1.003735e-01
4.370288124604441e-04	-1.193158e+00	-1.036173e-01
4.418139687104440e-04	-1.225418e+00	-1.066541e-01
4.465991249604438e-04	-1.255350e+00	-1.094839e-01
4.513842812104437e-04	-1.282954e+00	-1.121067e-01
4.659350624604440e-04	-1.350708e+00	-1.186448e-01
4.804858437104443e-04	-1.393169e+00	-1.228837e-01
4.950366249604445e-04	-1.410336e+00	-1.248235e-01
5.095874062104449e-04	-1.402211e+00	-1.244642e-01
5.241381874604451e-04	-1.368793e+00	-1.218057e-01
5.386889687104455e-04	-1.310081e+00	-1.168481e-01
5.532397499604457e-04	-1.226077e+00	-1.095914e-01
5.573413124604459e-04	-1.198400e+00	-1.071755e-01
5.614428749604461e-04	-1.169089e+00	-1.046098e-01
5.655444374604463e-04	-1.138145e+00	-1.018941e-01
5.696459999604465e-04	-1.105568e+00	-9.902856e-02
5.737475624604467e-04	-1.071357e+00	-9.601313e-02
5.778491249604469e-04	-1.035513e+00	-9.284781e-02
5.819506874604471e-04	-9.980350e-01	-8.953261e-02
5.833178749604472e-04	-9.852568e-01	-8.840122e-02
5.840014687104472e-04	-9.788077e-01	-8.783001e-02
5.846850624604472e-04	-9.723190e-01	-8.725516e-02
5.860522499604473e-04	-9.592237e-01	-8.609461e-02
5.899584999604475e-04	-9.208224e-01	-8.268823e-02
5.938647499604476e-04	-8.813399e-01	-7.918206e-02
5.977709999604479e-04	-8.407763e-01	-7.557611e-02
6.016772499604481e-04	-7.991317e-01	-7.187038e-02
6.055834999604483e-04	-7.564060e-01	-6.806487e-02
6.094897499604484e-04	-7.125991e-01	-6.415958e-02
6.133959999604486e-04	-6.677112e-01	-6.015451e-02
6.192553749604490e-04	-5.984107e-01	-5.396525e-02
6.251147499604492e-04	-5.278888e-01	-4.766055e-02
6.309741249604495e-04	-4.561453e-01	-4.124042e-02
6.368334999604497e-04	-3.831804e-01	-3.470486e-02
6.426928749604501e-04	-3.089940e-01	-2.805386e-02
6.485522499604503e-04	-2.335860e-01	-2.128742e-02
6.544116249604506e-04	-1.569566e-01	-1.440555e-02
6.667163124604512e-04	3.891305e-03	5.848757e-05
6.695483437104513e-04	4.101506e-02	3.400398e-03
6.723803749604515e-04	7.803040e-02	6.733966e-03
6.752124062104516e-04	1.149373e-01	1.005919e-02
6.780444374604518e-04	1.517359e-01	1.337608e-02
6.808764687104519e-04	1.884260e-01	1.668462e-02
6.837084999604520e-04	2.250077e-01	1.998482e-02
6.865405312104522e-04	2.614811e-01	2.327668e-02
6.885913124604523e-04	2.877214e-01	2.564595e-02
7.000000000000000e-04	-nan	-nan
